,STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
22,2022,"Sư phạm Toán học
7140209",33.95,,,,
23,2022,"Sư phạm Ngữ văn
7140217",33.93,,,,
24,2022,"Sư phạm Lịch sử
7140218",36.0,,,,
STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
2,2021,"Công nghệ thông tin
7480201",32.25,,,TTNV <=2,
3,2021,"Công tác xã hội
7760101",25.75,,,TTNV <=1,
4,2021,"ĐH Toán ứng dụng
7460112",24.27,,,TTNV <=2,
5,2021,"Du lịch
7310630",23.25,,,TTNV <=1,
6,2021,"Giáo dục Tiểu học
7140202",33.95,,,TTNV <=4,
7,2021,"Giáo dục Mầm non
7140201",26.57,,,TTNV <=3,
8,2021,"Giáo dục Công dân
7140204",27.5,,,TTNV <=3,
9,2021,"Giáo dục Đặc biệt
7140203",28.42,,,TTNV <=7,
10,2021,"Logistics và Quản lý chuỗi cung ứng
7510605",32.8,,,TTNV <=8,
11,2021,"Ngành Luật
7380101",32.83,,,TTNV <=6,
12,2021,"Ngôn ngữ Anh
7220201",34.55,,,TTNV <=2,
13,2021,"Ngôn ngữ Trung Quốc
7220204",35.07,,,TTNV <=1,
14,2021,"Quản trị dịch vụ du lịch và lữ hành
7810103",32.3,,,TTNV <=12,
15,2021,"Quản lý giáo dục
7140114",29.0,,,TTNV <=4,
16,2021,"Quản lý công
7340403",20.68,,,TTNV <=3,
17,2021,"Quản trị khách sạn
7810201",32.33,,,TTNV <=2,
18,2021,"Quản trị doanh nghiệp
7340101",32.4,,,TTNV <=3,
19,2021,"Sư phạm Toán học
7140209",34.8,,,TTNV <=1,
20,2021,"Sư phạm Ngữ văn
7140217",34.43,,,TTNV <=3,
21,2021,"Sư phạm Vật lý
7140211",29.0,,,TTNV <=5,
22,2021,"Sư phạm Lịch sử
7140218",30.1,,,TTNV <=3,
STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,Unnamed: 7
2,2020,"Công tác xã hội
7760101",18.0,,,Thang 40,
3,2020,"Công nghệ kỹ thuật Môi trường
7510406",18.0,,,Thang 40,
4,2020,"Công nghệ thông tin
7480201",29.2,,,Thang 40,
5,2020,"ĐH Toán ứng dụng
7460112",18.0,,,Thang 40,
6,2020,"Du lịch
7310630",22.08,,,Thang 40,
7,2020,"Giáo dục Tiểu học
7140202",28.78,,,Thang 40,
8,2020,"Giáo dục Công dân
7140204",20.0,,,Thang 40,
9,2020,"Giáo dục Mầm non
7140201",20.0,,,Thang 40,
10,2020,"Giáo dục Mầm non
51140201",19.0,,,Thang 40,
11,2020,"Giáo dục Đặc biệt
7140203",20.0,,,Thang 40,
12,2020,"Logistics và Quản lý chuỗi cung ứng
7510605",29.82,,,Thang 40,
13,2020,"Ngành Luật
7380101",29.25,,,Thang 40,
14,2020,"Ngôn ngữ Anh
7220201",29.88,,,Thang 40,
15,2020,"Ngôn ngữ Trung Quốc
7220204",30.02,,,Thang 40,
16,2020,"Quản lý giáo dục
7140114",20.33,,,Thang 40,
17,2020,"Quản lý công
7340403",18.0,,,Thang 40,
18,2020,"Quản trị dịch vụ du lịch và lữ hành
7810103",29.93,,,Thang 40,
