STT,Năm,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú,
1,2024,"Bảo hộ lao động
7850201",26.5,"A00, A01, D01, D07","15,000,000",,
2,2024,"Chính trị học
7310201",24.65,"C00, D01, D66, D78","15,000,000",,
3,2024,"Công nghệ kỹ thuật Môi trường
7510406",18.9,"A00, A01, D01, D07","15,000,000",,
4,2024,"Công nghệ thông tin
7480201",23.65,"A00, A01, D01, D07","16,400,000",,
5,2024,"Công tác xã hội
7760101",24.87,"C00, D01, D14, D78","15,000,000",,
6,2024,"ĐH Toán ứng dụng
7460112",24.68,"A00, A01, D01, D07","16,400,000",,
7,2024,"Giáo dục Đặc biệt
7140203",,,"14,100,000",,
8,2024,"Giáo dục Thể chất
7140206",24,T05,"14,100,000",,
9,2024,"Giáo dục Công dân
7140204",25.99,"D66, D78, D84, D96","14,100,000",,
10,2024,"Giáo dục Tiểu học
7140202",26.26,"D01, D72, D78, D96","14,100,000",,
11,2024,"Giáo dục Mầm non
7140201",24.45,"D01, D72, D90, D96","14,100,000",,
12,2024,"Logistics và Quản lý chuỗi cung ứng
7510605",26.86,"A00, C00, D01, D96","16,400,000",,
13,2024,"Ngành Luật
7380101",26.5,"C00, D01, D66, D78","14,100,000",,
14,2024,"Ngôn ngữ Trung Quốc
7220204",26.25,"D01, D14, D15, D78","15,000,000",,
15,2024,"Ngôn ngữ Anh
7220201",26.1,"D01, D14, D15, D78","15,000,000",,
16,2024,"Quản trị Kinh doanh
7340101",26.62,"A00, C00, D01, D96","14,100,000",,
17,2024,"Quản lý giáo dục
7140114",26.03,"C00, D01, D14, D78","14,100,000",,
18,2024,"Quản trị khách sạn
7810201",24.8,"D01, D14, D15, D78","15,000,000",,
19,2024,"Quản trị dịch vụ du lịch và lữ hành
7810103",24.88,"D01, D14, D15, D78","15,000,000",,
20,2024,"Quản lý công
7340403",23.47,"A00, C00, D01, D96","14,100,000",,
21,2024,"Sư phạm Lịch sử
7140218",26.18,"D09, D14, D78, D96","14,100,000",,
22,2024,"Sư phạm Toán học
7140209",26.5,"A01, D01, D07, D90","14,100,000",,
23,2024,"Sư phạm Ngữ văn
7140217",26.58,"D01, D14, D15, D78","14,100,000",,
24,2024,"Sư phạm Vật lý
7140211",25.65,"A01, D01, D07, D90","14,100,000",,
25,2024,"Tài chính – Ngân hàng
7340201",24.49,"A00, A01, D01, D96","14,100,000",,
26,2024,"Tâm lý học
7310401",26.63,"C00, D01","15,000,000",,
27,2024,"Văn hoá học
7229040",25.57,"C00, D01, D14, D78","14,100,000",,
28,2024,"Văn học
7229030",27.08,"C00, C20, D01, D14","14,100,000",,
29,2024,"Việt Nam học
7310630",26.36,"C00, C20, D01, D14","15,000,000",,
